,fanfooty_player_id,afl_player_id,first_name,surname,afl_team,status,jumper_number,birth_date,height,weight,state_of_origin,recruited_from,game,goals,Full Name,SC Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next.1,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
0,43031.0,294472.0,Rory,Atkins,Adelaide,senior,21.0,12/07/1994,186.0,85.0,VIC,Calder Cannons,94.0,"45""",Rory Atkins,1.0,Rory,Atkins,MID,,ADE,,,,,Tue 27th 4am,,waiver,1510.0,20.0,0.0,75.5,56.67,72.6,,,
1,1549.0,240060.0,Eddie,Betts,Adelaide,senior,18.0,26/11/1986,175.0,73.0,VIC,Calder Cannons,312.0,"595""",Eddie Betts,2.0,Eddie,Betts,FWD,,ADE,,,,,Tue 27th 4am,,waiver,1305.0,21.0,52.0,62.14,50.33,58.8,,,
2,42301.0,293193.0,Luke,Brown,Adelaide,senior,16.0,20/01/1992,183.0,81.0,SA,Norwood,145.0,"13""",Luke Brown,3.0,Luke,Brown,DEF,,ADE,,,,,Tue 27th 4am,,waiver,1020.0,15.0,52.0,68.0,63.67,61.6,,Brown won't be in the Crows side for the first month or so due to injury.,
3,49119.0,1004995.0,Jordon,Butts,Adelaide,rookie,41.0,31/12/1999,195.0,80.0,VIC,Murray Bushrangers,,"""",Jordon Butts,4.0,Jordon,Butts,DEF,FWD,ADE,,,,,Tue 27th 4am,,waiver,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,42260.0,294307.0,Brad,Crouch,Adelaide,senior,2.0,12/01/1994,187.0,88.0,VIC,North Ballarat Rebels,78.0,"30""",Brad Crouch,5.0,Brad,Crouch,MID,,ADE,,,,Fire The Worpedo,,,owner,2164.0,22.0,59.0,98.36,82.33,89.4,,Crouch had 28 and kicked 2 goals but it was his efficiency which hurt him at 67%. However 91 still a good start for a guy that didn't play last season and was very underpriced. Look for him to build from here.,
5,44012.0,297401.0,Matt,Crouch,Adelaide,senior,5.0,21/04/1995,183.0,82.0,VIC,North Ballarat Rebels,104.0,"23""",Matt Crouch,6.0,Matt,Crouch,MID,,ADE,,,,Casting Crouch,,,owner,1970.0,19.0,134.0,103.68,117.0,109.2,,Crouch was great and had the second best score for the Crows from 40 touches and just under half of them were contested. He is a supercoach machine and well worth being in your side.,
6,47096.0,298417.0,Ben,Davis,Adelaide,senior,40.0,19/05/1997,188.0,79.0,NSW,UNSW,1.0,"0""",Ben Davis,7.0,Ben,Davis,FWD,,ADE,,,,,Tue 27th 4am,,waiver,22.0,1.0,0.0,22.0,22.0,22.0,,,
7,46081.0,1000932.0,Tom,Doedee,Adelaide,senior,39.0,1/03/1997,189.0,87.0,VIC,Geelong Falcons,21.0,"2""",Tom Doedee,8.0,Tom,Doedee,DEF,,ADE,,,,,Tue 27th 4am,,waiver,56.0,1.0,0.0,56.0,56.0,56.0,,,
8,2043.0,240370.0,Richard,Douglas,Adelaide,senior,26.0,6/02/1987,181.0,80.0,VIC,Calder Cannons,242.0,"162""",Richard Douglas,9.0,Richard,Douglas,FWD,MID,ADE,,,,,Tue 27th 4am,,waiver,492.0,9.0,54.0,54.67,57.0,59.2,,,
9,42316.0,293479.0,Cam,Ellis-Yolmen,Adelaide,senior,28.0,28/01/1993,190.0,94.0,SA,Woodville-West Torrens,39.0,"15""",Cam Ellis-Yolmen,,,,,,,,,,,,,,,,,,,,,,
10,48006.0,999331.0,Darcy,Fogarty,Adelaide,senior,32.0,25/09/1999,192.0,95.0,SA,Glenelg,10.0,"9""",Darcy Fogarty,11.0,Darcy,Fogarty,FWD,,ADE,,,,,Tue 27th 4am,,waiver,261.0,4.0,41.0,65.25,66.67,65.25,,,
11,47024.0,998106.0,Jordan,Gallucci,Adelaide,senior,7.0,4/05/1998,182.0,78.0,VIC,Eastern Ranges,27.0,"19""",Jordan Gallucci,12.0,Jordan,Gallucci,FWD,,ADE,,,,,Tue 27th 4am,,waiver,497.0,10.0,0.0,49.7,42.67,56.2,,,
12,39495.0,250417.0,Bryce,Gibbs,Adelaide,senior,6.0,15/03/1989,187.0,85.0,SA,Glenelg,261.0,"152""",Bryce Gibbs,13.0,Bryce,Gibbs,MID,,ADE,,,,,Tue 27th 4am,,waiver,829.0,12.0,45.0,69.08,62.0,67.4,,,
13,46118.0,281091.0,Hugh,Greenwood,Adelaide,senior,1.0,6/03/1992,190.0,90.0,TAS,Perth Wildcats,50.0,"36""",Hugh Greenwood,14.0,Hugh,Greenwood,MID,,ADE,,,,,Tue 27th 4am,,waiver,1194.0,14.0,68.0,85.29,76.67,83.0,,,
14,49062.0,1008159.0,Will,Hamill,Adelaide,senior,35.0,17/11/2000,185.0,70.0,VIC,Dandenong Stingrays,,"""",Will Hamill,,,,,,,,,,,,,,,,,,,,,,
15,42090.0,290228.0,Kyle,Hartigan,Adelaide,senior,15.0,11/07/1991,195.0,98.0,VIC,Werribee  ,97.0,"1""",Kyle Hartigan,16.0,Kyle,Hartigan,DEF,,ADE,,,,,Tue 27th 4am,,waiver,837.0,19.0,0.0,44.05,39.33,43.0,,,
16,47082.0,1005199.0,Elliott,Himmelberg,Adelaide,senior,34.0,4/06/1998,198.0,89.0,QLD,Redlands,8.0,"9""",Elliott Himmelberg,17.0,Elliott,Himmelberg,FWD,,ADE,,,,,Tue 27th 4am,,waiver,398.0,7.0,0.0,56.86,46.33,56.0,,,
17,46105.0,992597.0,Paul,Hunter,Adelaide,rookie,37.0,9/02/1993,200.0,100.0,QLD,Redland,0.0,"0""",Paul Hunter,18.0,Paul,Hunter,RUC,,ADE,,,,,Tue 27th 4am,,waiver,0.0,0.0,0.0,0.0,0.0,0.0,,,
18,39578.0,270811.0,Sam,Jacobs,Adelaide,senior,24.0,10/04/1988,202.0,102.0,SA,Woodville West Torrens,198.0,"48""",Sam Jacobs,19.0,Sam,Jacobs,RUC,,ADE,,,,,Tue 27th 4am,,waiver,401.0,5.0,125.0,80.2,89.0,80.2,,,
19,42159.0,294828.0,Josh,Jenkins,Adelaide,senior,4.0,8/02/1989,200.0,108.0,VIC,Lake Boga,146.0,"295""",Josh Jenkins,20.0,Josh,Jenkins,FWD,,ADE,,,,,Tue 27th 4am,,waiver,752.0,11.0,0.0,68.36,73.0,70.2,,,
20,49023.0,1006203.0,Chayce,Jones,Adelaide,senior,20.0,14/01/2000,179.0,73.0,TAS,Launceston,6.0,"1""",Chayce Jones,21.0,Chayce,Jones,MID,,ADE,,,,,Tue 27th 4am,,waiver,400.0,8.0,86.0,50.0,61.67,52.4,,,
21,42099.0,290797.0,Alex,Keath,Adelaide,senior,42.0,20/01/1992,198.0,97.0,VIC,Murray Bushrangers,29.0,"1""",Alex Keath,22.0,Alex,Keath,DEF,,ADE,,,,,Tue 27th 4am,,waiver,1369.0,18.0,29.0,76.06,51.67,59.2,,,
22,44097.0,297473.0,Jake,Kelly,Adelaide,senior,8.0,21/01/1995,189.0,90.0,VIC,Oakleigh Chargers,70.0,"1""",Jake Kelly,23.0,Jake,Kelly,DEF,,ADE,,,,,Tue 27th 4am,,waiver,1646.0,22.0,45.0,74.82,60.67,68.4,,,
23,44047.0,295103.0,Riley,Knight,Adelaide,senior,3.0,27/03/1995,181.0,77.0,SA,Woodville-West Torrens,50.0,"34""",Riley Knight,24.0,Riley,Knight,FWD,MID,ADE,,,,,Tue 27th 4am,,waiver,951.0,15.0,51.0,63.4,58.33,61.6,,,
24,42344.0,293222.0,Rory,Laird,Adelaide,senior,29.0,29/12/1993,178.0,81.0,SA,West Adelaide,138.0,"12""",Rory Laird,25.0,Rory,Laird,DEF,,ADE,,,,Man of Steele,,,owner,2130.0,22.0,104.0,96.82,90.0,98.4,,Laird had a solid JLT series showing that he hasn't lost any of his scoring power. He will be a popular selection again this year.,
25,40030.0,270938.0,Tom T.,Lynch,Adelaide,senior,27.0,15/09/1990,191.0,88.0,VIC,Sandringham Dragons,134.0,"185""",Tom T. Lynch,,,,,,,,,,,,,,,,,,,,,,
26,39486.0,250362.0,David,Mackay,Adelaide,senior,14.0,25/07/1988,182.0,77.0,VIC,Oakleigh,215.0,"60""",David Mackay,27.0,David,Mackay,DEF,,ADE,,,,,Tue 27th 4am,,waiver,1197.0,18.0,44.0,66.5,59.67,67.6,,,
27,49070.0,298470.0,Shane,McAdam,Adelaide,senior,23.0,28/05/1995,185.0,84.0,WA,Sturt,,"""",Shane McAdam,28.0,Shane,McAdam,FWD,,ADE,,,,,Tue 27th 4am,,waiver,0.0,0.0,0.0,0.0,0.0,0.0,,,
28,49017.0,1008185.0,Ned,McHenry,Adelaide,senior,25.0,13/07/2000,176.0,71.0,VIC,Geelong Falcons,,"""",Ned McHenry,29.0,Ned,McHenry,MID,FWD,ADE,,,,,Tue 27th 4am,,waiver,0.0,0.0,0.0,0.0,0.0,0.0,,,
